Paper ID,Publishable,Conference
P001,1,CVPR
P002,0,na
P003,0,na
P004,1,TMLR
P005,1,CVPR
P006,0,na
P007,1,EMNLP
P008,1,NeurIPS
P009,1,NeurIPS
P010,1,TMLR
P011,1,TMLR
P012,1,NeurIPS
P013,1,NeurIPS
P014,1,CVPR
P015,1,CVPR
P016,0,na
P017,1,CVPR
P018,1,NeurIPS
P019,1,NeurIPS
P020,0,na
P021,1,NeurIPS
P022,0,na
P023,1,CVPR
P024,1,TMLR
P025,1,CVPR
P026,0,na
P027,1,KDD
P028,1,EMNLP
P029,1,CVPR
P030,1,NeurIPS
P031,1,EMNLP
P032,0,na
P033,1,EMNLP
P034,1,NeurIPS
P035,1,TMLR
P036,0,na
P037,1,EMNLP
P038,0,na
P039,0,na
P040,1,NeurIPS
P041,0,na
P042,1,NeurIPS
P043,0,na
P044,1,NeurIPS
P045,1,NeurIPS
P046,1,KDD
P047,0,na
P048,0,na
P049,1,NeurIPS
P050,1,EMNLP
P051,1,EMNLP
P052,1,NeurIPS
P053,0,na
P054,1,CVPR
P055,1,NeurIPS
P056,0,na
P057,0,na
P058,1,NeurIPS
P059,1,NeurIPS
P060,1,CVPR
P061,1,CVPR
P062,1,NeurIPS
P063,1,NeurIPS
P064,1,NeurIPS
P065,1,NeurIPS
P066,1,NeurIPS
P067,1,EMNLP
P068,1,CVPR
P069,0,na
P070,0,na
P071,1,EMNLP
P072,1,NeurIPS
P073,0,na
P074,1,CVPR
P075,1,CVPR
P076,0,na
P077,0,na
P078,0,na
P079,1,NeurIPS
P080,1,NeurIPS
P081,0,na
P082,1,NeurIPS
P083,1,KDD
P084,1,NeurIPS
P085,1,NeurIPS
P086,0,na
P087,1,CVPR
P088,1,TMLR
P089,1,TMLR
P090,1,NeurIPS
P091,1,EMNLP
P092,1,NeurIPS
P093,1,NeurIPS
P094,0,na
P095,1,NeurIPS
P096,0,na
P097,0,na
P098,0,na
P099,1,CVPR
P100,0,na
P101,1,CVPR
P102,1,CVPR
P103,1,NeurIPS
P104,1,EMNLP
P105,0,na
P106,0,na
P107,0,na
P108,1,EMNLP
P109,1,NeurIPS
P110,1,EMNLP
P111,1,NeurIPS
P112,1,TMLR
P113,1,NeurIPS
P114,0,na
P115,1,NeurIPS
P116,1,TMLR
P117,1,CVPR
P118,1,EMNLP
P119,0,na
P120,1,EMNLP
P121,1,NeurIPS
P122,1,NeurIPS
P123,1,CVPR
P124,1,NeurIPS
P125,1,EMNLP
P126,1,TMLR
P127,1,CVPR
P128,1,EMNLP
P129,0,na
P130,0,na
P131,1,NeurIPS
P132,0,na
P133,1,EMNLP
P134,0,na
P135,1,TMLR
